nom,prix,adresse ,image
Pitt Bull red nose femelle,Prixsurdemande,"Medina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/742530_uploaded_image1_1563025513.69.png""); width: 661px;"
Chiots Pitbull,250000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/742716_uploaded_image3_1563030467.78.png""); width: 525px;"
Caniche bichon,200000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/751558_uploaded_image2_1563309112.52.png""); width: 429px;"
Chiot Boerboel,450000,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/751964_uploaded_image1_1563320930.56.png""); width: 429px;"
Pitbull Red Nose,220000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_778978_uploaded_image1_1564025139.31.png""); width: 429px;"
Caniche bichons maltais,190000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png""); width: 429px;"
Chien berger allemand à poil long,200000,"Thies Ouest, Thiès, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_848994_uploaded_image1_1566053635.51.png""); width: 449px;"
Chiots Cane Corso,Prixsurdemande,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/891450_uploaded_image2_1567127976.09.png""); width: 383px;"
Pitbull black nose,250000,Sénégal,"background-image: url(""https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png""); width: 429px;"
Chiot Cane Corso,800000,Sénégal,"background-image: url(""https://images.coinafrique.com/956906_uploaded_image2_1568758075.99.png""); width: 488px;"
Boerboel femelle,400000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_989796_uploaded_image1_1569465977.94.png""); width: 429px;"
Chiots,350000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1000525_uploaded_image2_1569688531.37.png""); width: 552px;"
Chiot akita américain,Prixsurdemande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1106542_uploaded_image1_1571934153.2.png""); width: 488px;"
Chiot berger allemand,200000,Sénégal,"background-image: url(""https://images.coinafrique.com/1115802_uploaded_image2_1572126146.66.png""); width: 369px;"
Chien Rottweiler,375000,Sénégal,"background-image: url(""https://images.coinafrique.com/1122493_uploaded_image2_1572275963.47.png""); width: 432px;"
Chiots Berger Allemand,350000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1123229_uploaded_image2_1572285379.45.png""); width: 560px;"
Pitbull,90000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1139092_uploaded_image1_1572580780.65.png""); width: 373px;"
Chiots Berger Allemand de race pure,125000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1148739_uploaded_image2_1572796180.58.png""); width: 416px;"
Berger blanc,200000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1163882_uploaded_image1_1577060329.24.png""); width: 449px;"
Bichons malté,180000,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/1176190_uploaded_image2_1573296965.03.png""); width: 389px;"
Bergers - labrador - pitbull - rottweiler,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1184876_uploaded_image2_1573492032.86.png""); width: 369px;"
Bichon maltais,170000,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1208713_uploaded_image1_1573923517.79.png""); width: 411px;"
Chiots Cane Corso,500000,Sénégal,"background-image: url(""https://images.coinafrique.com/1279844_uploaded_image2_1575227437.71.png""); width: 369px;"
Chien Pitbull,150000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1339794_uploaded_image2_1576322961.73.png""); width: 432px;"
Chiots Shih-Tzu,250000,Sénégal,"background-image: url(""https://images.coinafrique.com/1381280_uploaded_image2_1577118817.92.png""); width: 444px;"
Chiot Berger Allemand,350000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1387279_uploaded_image2_1577244796.5.png""); width: 418px;"
Chiots Dalmatiens,450000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1396092_uploaded_image2_1577444314.03.png""); width: 488px;"
Bebé Lhasa Apso,Prixsurdemande,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1426072_uploaded_image1_1578142225.59.png""); width: 548px;"
Chiots Chowchow,990000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1444195_uploaded_image2_1578452520.28.png""); width: 488px;"
Spitz nain,Prixsurdemande,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1455313_uploaded_image2_1578601460.81.png""); width: 602px;"
Chiots husky sibérien - dog argentin - cane corso,350000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1477206_uploaded_image2_1578994405.03.png""); width: 415px;"
Caniche,100000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1502314_uploaded_image1_1579389662.11.png""); width: 369px;"
Caniches,100000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1502318_uploaded_image2_1579389696.6.png""); width: 545px;"
Caniche,100000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1502366_uploaded_image2_1579392503.84.png""); width: 369px;"
Chiots akita américain,990000,"Mermoz-Sacré Coeur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1536386_uploaded_image2_1580821755.22.png""); width: 483px;"
Chiots Hight quality husky Sibérien,Prixsurdemande,"Diourbel, Sénégal","background-image: url(""https://images.coinafrique.com/1568103_uploaded_image2_1580413062.0.png""); width: 488px;"
Chiot Spitz nain,Prixsurdemande,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1571895_uploaded_image2_1580477105.96.png""); width: 488px;"
Spitz pomperanian nain,Prixsurdemande,Sénégal,"background-image: url(""https://images.coinafrique.com/1592536_uploaded_image2_1580821139.16.png""); width: 488px;"
Doberman lignée européenne,Prixsurdemande,"Fatick, Sénégal","background-image: url(""https://images.coinafrique.com/1592645_uploaded_image2_1580822366.93.png""); width: 488px;"
Pékinois,Prixsurdemande,"Patte d'oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1592664_uploaded_image2_1580822577.79.png""); width: 488px;"
Doberman,400000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1621541_uploaded_image2_1581266142.61.png""); width: 420px;"
Chiot berger belge malinois,175000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1628361_uploaded_image2_1581360490.25.png""); width: 602px;"
Cani corso,600000,Sénégal,"background-image: url(""https://images.coinafrique.com/1716117_uploaded_image2_1582837304.75.png""); width: 419px;"
Chien Bichon,Prixsurdemande,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1733519_uploaded_image3_1583168047.85.png""); width: 388px;"
Doberman pure souche,350000,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/1803179_uploaded_image2_1584379219.84.png""); width: 420px;"
Chien Dogue Allemand,Prixsurdemande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1840570_uploaded_image2_1585048708.25.png""); width: 438px;"
Caniches,Prixsurdemande,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1840583_uploaded_image2_1585048857.01.png""); width: 438px;"
Chiots Spitz nain pomeranian,Prixsurdemande,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862107_uploaded_image2_1585455904.91.png""); width: 488px;"
Chiots Shiba inu,Prixsurdemande,"Ngor, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862112_uploaded_image2_1585456241.99.png""); width: 488px;"
Chiots pékinois pure race,Prixsurdemande,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862142_uploaded_image2_1585459853.61.png""); width: 488px;"
Chiots Dogue allemand,Prixsurdemande,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862148_uploaded_image2_1585459981.68.png""); width: 488px;"
Femelle dogue de Bordeaux,Prixsurdemande,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862155_uploaded_image2_1585460204.22.png""); width: 488px;"
Bulldog anglais,Prixsurdemande,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1862159_uploaded_image2_1585460333.29.png""); width: 488px;"
Labrador,200000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1869479_uploaded_image2_1585587706.8.png""); width: 583px;"
Métisse chiots rottweiler,50000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1890049_uploaded_image1_1585932795.82.png""); width: 583px;"
Chiens Malinois,300000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1904735_uploaded_image2_1586389817.14.png""); width: 595px;"
Chiot boxer,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1935386_uploaded_image2_1586726128.81.png""); width: 488px;"
Chiots Labrador,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1935397_uploaded_image2_1586726397.99.png""); width: 488px;"
Chien,400000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1940062_uploaded_image2_1586802061.26.png""); width: 597px;"
Chien,400000,Sénégal,"background-image: url(""https://images.coinafrique.com/1940073_uploaded_image2_1586802160.21.png""); width: 597px;"
CHiots Pitbull,90000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1959031_uploaded_image2_1587075774.26.jpeg""); width: 436px;"
Femelles  métisse rock / 4 chiennes,50000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1984265_uploaded_image1_1587479748.47.jpeg""); width: 583px;"
Chiot Chowchow,Prixsurdemande,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2047517_uploaded_image2_1588470753.jpeg""); width: 488px;"
Chiot Berger Allemand,250000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2062558_uploaded_image1_1588702072.jpg""); width: 429px;"
Chiot Can Corso,300000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2062566_uploaded_image1_1588702172.jpg""); width: 429px;"
Berger malinois charboné,300000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2063869_uploaded_image1_1588722042.jpg""); width: 429px;"
Chiots Berger Amstaff,130000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2082208_uploaded_image2_1588983813.jpeg""); width: 615px;"
Chiots Yorkshire/caniche,200000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2107633_uploaded_image2_1589392557.jpeg""); width: 369px;"
Chiots rockweile,290000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2119461_uploaded_image2_1589565559.jpeg""); width: 436px;"
Chiots Rottweiler,300000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2151223_uploaded_image2_1590064972.jpeg""); width: 529px;"
Chiot Yorkie_Chon,300000,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/2151616_uploaded_image2_1592169343.jpeg""); width: 498px;"
