nom,prix,adresse,image
Lapins et lapereaux Angora Californien,Prixsurdemande,"Medina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/729692_uploaded_image2_1562719155.08.png""); width: 457px;"
Lapins et lapereaux angora Californien,Prixsurdemande,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/729715_uploaded_image2_1562719495.29.png""); width: 457px;"
Lapin géant,70000,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/761183_uploaded_image1_1563536095.25.png""); width: 369px;"
Lapins,40000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/774940_uploaded_image2_1563940703.64.png""); width: 596px;"
Poulet de chair,2000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/798654_uploaded_image3_1564576618.09.png""); width: 532px;"
Coqs Brahmane,5000,"Thies Ouest, Thiès, Sénégal","background-image: url(""https://images.coinafrique.com/841858_uploaded_image2_1565838065.0.png""); width: 562px;"
Coq et poussins bleus,15000,Sénégal,"background-image: url(""https://images.coinafrique.com/855420_uploaded_image1_1566249496.28.png""); width: 428px;"
Femelle GDF 4 mois,70000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/862099_uploaded_image1_1566396428.28.png""); width: 387px;"
Poulet de chair,2500,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/885789_uploaded_image2_1566997710.36.png""); width: 389px;"
Coqs et poussins,800,Sénégal,"background-image: url(""https://images.coinafrique.com/886578_uploaded_image1_1567011857.49.png""); width: 461px;"
Poulet de chair,2500,Sénégal,"background-image: url(""https://images.coinafrique.com/886584_uploaded_image2_1567011994.36.png""); width: 461px;"
Poussins bantam,15000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/899477_uploaded_image2_1567385912.28.png""); width: 610px;"
Barahmane,15000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/899487_uploaded_image1_1567386142.96.png""); width: 610px;"
Poulet de chair,Prixsurdemande,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/908730_uploaded_image1_1567603082.63.png""); width: 598px;"
Poulet - Pigeon  - Lapin,Prixsurdemande,Sénégal,"background-image: url(""https://images.coinafrique.com/944363_uploaded_image2_1568471599.61.png""); width: 432px;"
Paons Pigeons,30000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/968953_uploaded_image1_1569008082.81.png""); width: 439px;"
Poules,7000,Sénégal,"background-image: url(""https://images.coinafrique.com/977534_uploaded_image2_1569239272.74.png""); width: 448px;"
Lapins angora californien,11000,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/993655_uploaded_image1_1569535990.77.png""); width: 457px;"
Brahmane poules,35000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1006369_uploaded_image2_1569853974.66.png""); width: 581px;"
Bleus d'hollande,15000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1006380_uploaded_image2_1569854064.42.png""); width: 581px;"
Pigeon voyageur,25000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1006413_uploaded_image1_1569854645.39.png""); width: 581px;"
Lapin angora californien,15000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1014679_uploaded_image1_1570023780.43.png""); width: 597px;"
Lapin géant,45000,"Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1023073_uploaded_image2_1570188340.15.png""); width: 423px;"
Perroquet,75000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1040990_uploaded_image1_1570583700.42.png""); width: 563px;"
Pigeon links,Prixsurdemande,"Diourbel, Sénégal","background-image: url(""https://images.coinafrique.com/1091921_uploaded_image1_1571681099.26.png""); width: 370px;"
Couple pigeons cravatés français,50000,"Cambérène, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1112720_uploaded_image1_1572054298.36.png""); width: 370px;"
Bleu hollandais,25000,Sénégal,"background-image: url(""https://images.coinafrique.com/1115010_uploaded_image1_1572106167.81.png""); width: 448px;"
Pigeons,Prixsurdemande,"Fatick, Sénégal","background-image: url(""https://images.coinafrique.com/1137405_uploaded_image2_1572537461.89.png""); width: 369px;"
Poulets Guinars tiirr,Prixsurdemande,"Patte d'oie, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1146827_uploaded_image2_1572746441.92.png""); width: 438px;"
Lawar,30000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1148681_uploaded_image1_1572794832.68.png""); width: 420px;"
Poussin - 1 jour,Prixsurdemande,Sénégal,"background-image: url(""https://images.coinafrique.com/1159518_uploaded_image1_1572985208.46.png""); width: 409px;"
